Adapter,Pynq,Zynq,Adapter,Pynq,Zynq
IO 0,RPIO 02,W18,IO 24,RPIO 19,Y8
IO 1,RPIO 03,W19,IO 25,RPIO 20,A20
IO 2,RPIO 04,Y18,IO 26,RPIO 21,Y9
IO 3,RPIO 18,C20,IO 27,AR1,U12
IO 4,RPIO 17,U7,IO 28,AR2,U13
IO 5,RPIO 27,V7,IO 29,AR3,V13
IO 6,RPIO 14,V6,IO 30,RPIO 26,W9
IO 7,RPIO 15,Y6,IO 31,AR0,T14
IO 8,RPIO 23,W6,IO 32,AR4,V15
IO 9,RPIO 22,U8,IO 33,AR5,T15
IO 10,RPIO 10,V8,IO 34,AR7,U17
IO 11,RPIO 9,V10,IO 35,AR9,V18
IO 12,RPIO 8,F19,IO 36,AR10,T16
IO 13,RPIO 11,W10,IO 37,AR SCL,P15
IO 14,RPIO 24,Y7,IO 38,AR6,R16
IO 15,RPIO 25,F20,IO 39,AR8,V17
IO 16,RPIO 07,U19,IO 40,A,Y13
IO 17,RPIO SC,Y17,IO 41,AR13,N17
IO 18,RPIO 05,Y19,IO 42,AR11,R17
IO 19,RPIO 06,U18,IO 43,AR MOSI,T12
IO 20,RPIO 13,W8,IO 44,AR SCK,H15
IO 21,RPIO 16,B19,IO 45,AR SS,F16
IO 22,RPIO SD,Y16,IO 46,AR12,P18
IO 23,RPIO 12,B20,IO 47,AR MISO,W15